,Dataset ID,No. of Resources,Dataset Title,Issued,Modified,Access URL,Topic,Publisher,Language
0,28665,1,Number of members by gender_27thOct2021,2021-10-27T22:47:56+04:00,2021-10-28T01:28:31+04:00,https://addata.gov.ae/dataset/number-members-gender27thoct2021,,Abu Dhabi Chamber of Commerce,en
1,28633,1,Fuel Consumption for year 2015-2020,2021-10-18T12:38:27+04:00,2021-10-19T15:41:53+04:00,https://addata.gov.ae/dataset/fuel-consumption-year-2015-2020,Energy,Department of Energy,en
2,28625,1,List of Applicants for the Waste Collection Vehicle Operator Conformity Program ,2021-10-18T11:49:10+04:00,2021-10-18T12:35:58+04:00,https://addata.gov.ae/dataset/list-applicants-waste-collection-vehicle-operator-conformity-program,"Business, Society",Abu Dhabi Quality and Conformity Council,en
3,28599,1,Verification Summary,2021-10-17T13:52:08+04:00,2021-10-17T15:34:44+04:00,https://addata.gov.ae/dataset/verification-summary,"Business, Society",Abu Dhabi Quality and Conformity Council,en
4,28575,1,DED Consumer Manual Guide En Final,2021-10-16T22:46:57+04:00,2021-10-17T00:29:11+04:00,https://addata.gov.ae/dataset/ded-consumer-manual-guide-en-final,Economy,Department of Economic Development,en
5,28511,2,Location of Licensed Training Providers (LTP),2021-10-13T15:58:48+04:00,2021-10-13T18:14:22+04:00,https://addata.gov.ae/dataset/location-licensed-training-providers-ltp,Education,Abu Dhabi Centre for Technical and Vocational Education and Training,en
6,28465,2,List of Applicants for Participation in the Engineer Assistant Services Conformity Program,2021-10-11T11:15:35+04:00,2021-10-11T15:07:55+04:00,https://addata.gov.ae/dataset/list-applicants-participation-engineer-assistant-services-conformity-program,"Business, Society",Abu Dhabi Quality and Conformity Council,en
7,28461,1,List of Applicants for Participation in the  in the Mechanical Street Sweeper Driver Conformity Program,2021-10-11T11:11:27+04:00,2021-10-11T12:05:05+04:00,https://addata.gov.ae/dataset/list-applicants-participation-mechanical-street-sweeper-driver-conformity-program,"Business, Society",Abu Dhabi Quality and Conformity Council,en
8,28457,1,List of Applicants for Participation in the  in the Street Cleaner Services Conformity Program,2021-10-11T11:03:23+04:00,2021-10-11T12:05:09+04:00,https://addata.gov.ae/dataset/list-applicants-participation-street-cleaner-services-conformity-program,"Business, Society",Abu Dhabi Quality and Conformity Council,en
9,28453,1,List of Applicants for Participation in the  in the Waste Collection Worker Services Conformity Program,2021-10-11T10:54:40+04:00,2021-10-11T15:18:53+04:00,https://addata.gov.ae/dataset/list-applicants-participation-waste-collection-worker-services-conformity-program,"Business, Society",Abu Dhabi Quality and Conformity Council,en
10,28451,2,List of Applicants for the School Bus Supervisors and Drivers Conform Scheme,2021-10-11T10:36:18+04:00,2021-10-11T12:05:07+04:00,https://addata.gov.ae/dataset/list-applicants-school-bus-supervisors-and-drivers-conform-scheme,"Business, Society",Abu Dhabi Quality and Conformity Council,en
11,28441,1,List of Applicants for Participation in the Waste Field Supervisor Services Conformity Program,2021-10-11T10:10:22+04:00,2021-10-11T12:05:51+04:00,https://addata.gov.ae/dataset/list-applicants-participation-waste-field-supervisor-services-conformity-program-0,"Business, Society",Abu Dhabi Quality and Conformity Council,en
12,28429,1,Agricultural production in field crops by type & agricultural centers in Abu Dhabi region 2019,2021-10-08T19:40:47+04:00,2021-10-08T20:55:52+04:00,https://addata.gov.ae/dataset/agricultural-production-field-crops-type-agricultural-centers-abu-dhabi-region-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
13,28427,2,Agricultural production in field crops by type for each regions in Emirate of Abu Dhabi 2019,2021-10-08T19:37:41+04:00,2021-10-08T20:55:52+04:00,https://addata.gov.ae/dataset/agricultural-production-field-crops-type-each-regions-emirate-abu-dhabi-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
14,28425,1,Agricultural production in field crops by type & agricultural centers in Al Dhafra region 2019,2021-10-08T19:35:57+04:00,2021-10-08T20:55:52+04:00,https://addata.gov.ae/dataset/agricultural-production-field-crops-type-agricultural-centers-al-dhafra-region-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
15,28417,1,Accepted Rejected & Returned to UAE Quantity of Food Imports Grouped by Type of Border 2019,2021-10-08T19:20:28+04:00,2021-11-08T07:37:16+04:00,https://addata.gov.ae/dataset/accepted-rejected-returned-uae-quantity-food-imports-grouped-type-border-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
16,28415,2,Accepted Rejected & Returned to UAE Quantity of Food Imports through The Free Sea Port Grouped by Main Food Category 2019,2021-10-08T19:13:03+04:00,2021-11-08T07:38:27+04:00,https://addata.gov.ae/dataset/accepted-rejected-returned-uae-quantity-food-imports-through-free-sea-port-grouped-main-food,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
17,28413,2,Accepted Rejected & Returned to UAE Quantity of Food Imports through Zayed Sea Port Grouped by Main Food Category 2019,2021-10-08T19:11:40+04:00,2021-11-08T08:30:38+04:00,https://addata.gov.ae/dataset/accepted-rejected-returned-uae-quantity-food-imports-through-zayed-sea-port-grouped-main,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
18,28411,1,Number of Food Shipments Imported through Abu Dhabi Air Ports Grouped by Port Name 2019,2021-10-08T19:10:20+04:00,2021-11-08T08:22:34+04:00,https://addata.gov.ae/dataset/number-food-shipments-imported-through-abu-dhabi-air-ports-grouped-port-name-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
19,28409,2,Number of Food Shipments Imported through Abu Dhabi Land Air and Sea Ports 2019,2021-10-08T19:09:15+04:00,2021-11-08T08:29:29+04:00,https://addata.gov.ae/dataset/number-food-shipments-imported-through-abu-dhabi-land-air-and-sea-ports-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
20,28407,2,Number of Food Shipments Imported through Abu Dhabi Land Ports Grouped by Port Name 2019,2021-10-08T18:44:27+04:00,2021-11-08T07:35:42+04:00,https://addata.gov.ae/dataset/number-food-shipments-imported-through-abu-dhabi-land-ports-grouped-port-name-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
21,28403,2,Total quantity of Accepted Rejected & returned to UAE  for food category through Abu Dhabi Airport 2019,2021-10-08T18:38:53+04:00,2021-11-08T08:27:48+04:00,https://addata.gov.ae/dataset/total-quantity-accepted-rejected-returned-uae-food-category-through-abu-dhabi-airport-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
22,28401,2,Number and type received Agricultural facilities and nurseries license for each regions in Emirate of Abu Dhabi 2019,2021-10-08T18:37:00+04:00,2021-10-08T20:55:52+04:00,https://addata.gov.ae/dataset/number-and-type-received-agricultural-facilities-and-nurseries-license-each-regions-emirate,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
23,28399,2,Total number of Inspection procedures to agricultural facilities categorized by action type for each regions in Emirate of Abu Dhabi 2019,2021-10-08T18:35:13+04:00,2021-11-08T08:25:41+04:00,https://addata.gov.ae/dataset/total-number-inspection-procedures-agricultural-facilities-categorized-action-type-each,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
24,28397,2,Total number of Inspection procedures to farms categorized by action type for each regions in Emirate of Abu Dhabi 2019,2021-10-08T18:33:27+04:00,2021-11-08T08:24:02+04:00,https://addata.gov.ae/dataset/total-number-inspection-procedures-farms-categorized-action-type-each-regions-emirate-abu,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
25,28387,1,Farms Data 2019,2021-10-08T17:12:48+04:00,2021-11-08T09:02:58+04:00,https://addata.gov.ae/dataset/farms-data-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
26,28385,14,Statistics book 2018,2021-10-08T17:07:49+04:00,2021-10-08T17:56:02+04:00,https://addata.gov.ae/dataset/statistics-book-2018,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
27,28383,2,Farms by regions in Emirate of Abu Dhabi 2019,2021-10-08T17:05:47+04:00,2021-11-08T08:35:19+04:00,https://addata.gov.ae/dataset/farms-regions-emirate-abu-dhabi-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
28,28381,0,Farms by agricultural centers in Abu Dhabi region 2019,2021-10-08T17:02:39+04:00,2021-11-08T09:16:56+04:00,https://addata.gov.ae/dataset/farms-agricultural-centers-abu-dhabi-region-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
29,28379,2,Farms by agricultural centers in Al Dhafra region 2019,2021-10-08T16:57:22+04:00,2021-11-09T08:37:21+04:00,https://addata.gov.ae/dataset/farms-agricultural-centers-al-dhafra-region-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
30,28377,0,Farms by agricultural centers in Alain region 2019,2021-10-08T16:52:31+04:00,2021-11-08T09:16:34+04:00,https://addata.gov.ae/dataset/farms-agricultural-centers-alain-region-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
31,28375,1,Farms according to space categories for each regions in Emirate of Abu Dhabi 2019,2021-10-08T16:44:52+04:00,2021-11-08T08:36:56+04:00,https://addata.gov.ae/dataset/farms-according-space-categories-each-regions-emirate-abu-dhabi-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
32,28373,2,Farms according to space categories and agricultural centers in Abu Dhabi Region 2019,2021-10-08T16:42:07+04:00,2021-11-08T08:31:56+04:00,https://addata.gov.ae/dataset/farms-according-space-categories-and-agricultural-centers-abu-dhabi-region-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
33,28371,2,Farms according to space categories and agricultural centers in Al Dhafra 2019,2021-10-08T16:38:00+04:00,2021-11-08T09:02:28+04:00,https://addata.gov.ae/dataset/farms-according-space-categories-and-agricultural-centers-al-dhafra-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
34,28369,1,Farms according to space categories and agricultural centers in Alain Region 2019,2021-10-08T16:34:36+04:00,2021-11-07T10:43:15+04:00,https://addata.gov.ae/dataset/farms-according-space-categories-and-agricultural-centers-alain-region-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
35,28367,2,Operating  farms by regions in Emirate of Abu Dhabi 2019,2021-10-08T16:33:08+04:00,2021-11-08T09:21:10+04:00,https://addata.gov.ae/dataset/operating-farms-regions-emirate-abu-dhabi-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
36,28365,1,Operating farms by agricultural centers in Abu Dhabi region 2019,2021-10-08T16:31:05+04:00,2021-11-08T09:00:25+04:00,https://addata.gov.ae/dataset/operating-farms-agricultural-centers-abu-dhabi-region-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
37,28363,2,Operating farms by agricultural centers in Al Dhafra region 2019,2021-10-08T16:29:31+04:00,2021-11-08T09:03:09+04:00,https://addata.gov.ae/dataset/operating-farms-agricultural-centers-al-dhafra-region-2019,,Abu Dhabi Agriculture and Food Safety Authority,en
38,28361,1,Operating  farms by agricultural centers in Alain region 2019,2021-10-08T16:26:51+04:00,2021-11-08T08:56:39+04:00,https://addata.gov.ae/dataset/operating-farms-agricultural-centers-alain-region-2019,Agriculture,Abu Dhabi Agriculture and Food Safety Authority,en
